Material Number RMMG1-MATNR,Reference material RMMG1_REF-MATNR,IfColumn and Sales Organization RMMG1-VKORG and Reference sales organization RMMG1_REF-VKORG,Distribution Channel RMMG1-VTWEG and Reference distribution channel RMMG1_REF-VTWEG
5FZ05181N000000505,5F00C190N000001200,102,DM
5FZ05181N000000505,5F00C190N000001200,102,EX
