IfColumn,Material Number RMMG1-MATNR,Material Description (Short Text) MAKT-MAKTX,Reference material RMMG1_REF-MATNR,IfColumn and Plant RMMG1-WERKS and Reference plant RMMG1_REF-WERKS
2MMK202202180005,5FZ05181N000000505,"CTN1-5313,SEALECT ",5F00C190N000001200,1021
2MMK202202180005,5FZ05181N000000505,"CTN1-5313,SEALECT ",5F00C190N000001200,1022
